,Location,Country,City,Borough,County,{
0,"Sun Prairie, Wisconsin",US,Sun Prairie, ,Dane,
1,"Asheville, North Carolina",US,Asheville, ,Buncombe,
2,"Minneapolis, Minnesota",US,Minneapolis, ,Hennepin,
3,"Salisbury, Massachussets",US,Salisbury, ,Essex County,
4,"Gurnee, Illinois",US,Gurnee, ,Lake County,
5,"Scarsdale, New York",US,Scarsdale, ,Westchester,
6,"Roscoe, New York",US,Rockland,Roscoe,Sullivan,
7,"Stirling, New Jersey",US,Long Hill,Stirling,Morris,
8,"Lake Katrine, New York",US,Lake Katrine, ,Ulster,
9,"Maitland, Florida",US,Maitland, ,Orange County,
10,"Glenham, New York",US,Fishkill,Glenham,Dutchess,
11,"Montebello, New York",US,Montebello, ,Rockland,
12,"Madison, Wisconsin",US,Madison,Bowens Addition,Dane,
13,"Wrightstown, New Jersey",US,Wrightstown, ,Burlington,
14,"Annapolis, Maryland",US,Annapolis, ,Anne Arundel,
15,"Jupiter, Florida",US,Jupiter, ,Palm Beach,
16,"Stroudsburg, Pennsylvania",US,Stroudsburg, ,Monroe,
17,"Cedar Grove, New Jersey",US,Cedar Grove, ,Essex,
18,"Webster, New York",US,Webster,Webster,Monroe County,
19,"Howell, New Jersey",US,Howell Township, ,Monmouth,
20,"Climax, New York",US,Coxsackie,Climax,Greene County,
21,"West New York, New Jersey",US,West New York, ,Hudson,
22,"Closter, New Jersey",US,Closter, ,Bergen,
23,"Copake, New York",US,Copake, ,Columbia,
24,"North Haledon, New Jersey",US,North Haledon, ,Passaic,
25,"Beacon, New York",US,Beacon, ,Dutchess,
26,"Mineola, New York",US,Mineola, ,Nassau,
27,"Point Pleasant, New Jersey",US,Point Pleasant, ,Ocean,
28,"Upper Saddle River, New Jersey",US,Upper Saddle River, ,Bergen,
29,"Willow, New York",US, ,Newton-le-Willows,North Yorkshire,
30,"Stewart Manor, New York",US,Stewart Manor, ,Nassau,
31,"East Northport, New York",US,Huntington,East Northport,Suffolk,
32,"Gardiner, New York",US,Gardiner, ,Ulster,
33,"Boiceville, New York",US,Olive,Boiceville,Ulster,
34,"Bayside, New York",US,Bayside,Queens, ,
35,"Duanesburg, New York",US, ,Duanesburg,Schenectady County,
36,"St. Simons Island, Georgia",US,St. Simons, ,Glynn,
37,"La Jolla, California",US,San Diego,La Jolla,San Diego,
38,"Spring Green, Wisconsin",US,Spring Green, ,Sauk,
39,"Pleasant Valley, New York",US,Pleasant Valley, ,Dutchess,
40,"Cornwall On Hudson, New York",US,Cornwall,Cornwall-on-Hudson,Orange,
41,"Spencerport, New York",US,Spencerport, ,Monroe County,
42,"Dobbs Ferry, New York",US,Dobbs Ferry, ,Westchester,
43,"Chapel Hill, North Carolina",US,Chapel Hill, ,Orange,
44,"Rome, New York",US,Rome, ,Oneida,
45,"Concord, Massachussets",US,Concord, ,Middlesex County,
46,"Greene, New York",US, , ,Greene County,
47,"South Setauket, New York",US,Brookhaven,South Setauket,Suffolk,
48,"Cape Coral, Florida",US,Cape Coral, ,Lee,
49,"Rotterdam Junction, New York",US,Rotterdam,Rotterdam Junction,Schenectady County,
50,"Hillburn, New York",US,Town of Ramapo,Hillburn,Rockland,
51,"Moorestown, New Jersey",US,Moorestown, ,Burlington,
52,"Millerton, New York",US,Millerton, ,Dutchess,
53,"Monterey, Massachussets",US,Monterey, ,Berkshire,
54,"Port Charlotte, Florida",US,Port Charlotte, ,Charlotte,
55,"Little Neck, New York",US,New York,Queens, ,
56,"New Orleans, Louisiana",US,New Orleans, ,Orleans Parish,
57,"Schodack Landing, New York",US,Schodack,Schodack Landing,Rensselaer,
58,"Middletown, New York",US,Middletown, ,Orange,
59,"Dumont, New York",US,Dumont, ,Bergen,
60,"Malvern, Pennsylvania",US,Malvern, ,Chester,
61,"Ozone Park, New York",US,Ozone Park,Queens, ,
62,"Lexington, South Carolina",US, , ,Lexington,
63,"Troy, New York",US,Troy, ,Rensselaer,
64,"Dover Plains, New York",US,Dover Plains,Bains Corner,Dutchess,
65,"Yellow Springs, Ohio",US,Yellow Springs, ,Greene,
66,"Spencertown, New York",US,Austerlitz,Spencertown,Columbia,
67,"Seattle, Washington",US,Seattle, ,King,
68,"Tolland, Connecticut",US, , ,Capitol Planning Region,
69,"Kinnelon, New Jersey",US,Kinnelon, ,Morris,
70,"Rockville Center, New York",US,Rockville Centre, ,Nassau,
71,"Clarendon, Vermont",US,Clarendon, ,Rutland County,
72,"Pittsford, New York",US,Pittsford,Pittsford,Monroe County,
73,"Laurel Springs, New Jersey",US,Laurel Springs, ,Camden,
74,"Central Islip, New York",US,Islip,Central Islip,Suffolk,
75,"Union Beach, New Jersey",US,Union Beach, ,Monmouth,
76,"North Caldwell, New Jersey",US,North Caldwell, ,Essex,
77,"Armonk, New York",US,Armonk, ,Westchester,
78,"Placida, Florida",US, ,Placida,Charlotte,
79,"Lake Hill, New York",US,East Fishkill,Hillside Lake,Dutchess,
80,"Pine Hill, New York",US,Shandaken,Pine Hill,Ulster,
81,"Ardsley-On-Hudson, New York",US,Irvington,Ardsley-on-Hudson,Westchester,
82,"Walden, New York",US,Montgomery,Walden,Orange,
83,"Tucker, Georgia",US,Tucker, ,DeKalb,
84,"Salt Point, New York",US,Salt Point, ,Dutchess,
85,"Massapequa, New York",US,Massapequa, ,Nassau,
86,"Atlantic Beach, New York",US,Atlantic Beach, ,Nassau,
87,"Saint James, New York",US,Smithtown,Saint James,Suffolk,
88,"Mahopac, New York",US,Carmel,Mahopac Falls,Putnam,
89,"Florida, New York",US,Florida, ,Montgomery,
90,"Middlebury, Vermont",US,Middlebury, ,Addison,
91,"Oak Creek, Colorado",US,Oak Creek, ,Routt,
92,"Medford, New York",US,Brookhaven,Medford,Suffolk,
93,"Jacksonville, Florida",US,Jacksonville, ,Duval,
94,"Jackson Heights, New York",US,Jackson Heights,Queens, ,
95,"West Haverstraw, New York",US,Haverstraw,West Haverstraw,Rockland,
96,"Olivebridge, New York",US,Olive,Olivebridge,Ulster,
97,"Napanoch, New York",US,Wawarsing,Napanoch,Ulster,
98,"New Hartford, New York",US,New Hartford, ,Oneida,
99,"Woodside, California",US,Woodside, ,San Mateo,
100,"Decatur, Georgia",US, , ,Decatur,
101,"Ballston Spa, New York",US,Milton,Ballston Spa,Saratoga,
102,"Orleans, Massachussets",US,Orleans, ,Barnstable,
103,"Tenafly, New Jersey",US,Tenafly, ,Bergen,
104,"Providence, Rhode Island",US,Providence, ,Providence,
105,"Sewell, New Jersey",US,Mantua Township,Sewell,Gloucester,
106,"Woodridge, New York",US,Fallsburg,Woodridge,Sullivan,
107,"Hastings-On-Hudson, New York",US,Hastings-on-Hudson, ,Westchester,
108,"Boulder, Colorado",US,Boulder, ,Boulder,
109,"Boston, Massachussets",US,Boston, ,Suffolk,
110,"Alexandria, Virginia",US,Alexandria, , ,
111,"Haworth, New Jersey",US,Haworth, ,Bergen,
112,"Blauvelt, New York",US,Blauvelt, ,Rockland,
113,"Wappinger Falls, New York",US,Wappingers Falls, ,Dutchess,
114,"Stony Point, New York",US,Stony Point, ,Rockland,
115,"Allendale, New Jersey",US,Allendale, ,Bergen,
116,"Elka Park, New York",US,Hunter,Elka Park,Greene County,
117,"Tomkins Cove, New York",US,Stony Point,Tomkins Cove,Rockland,
118,"Nashville, Tennessee",US,Nashville, ,Davidson,
119,"Las Vegas, Nevada",US,Las Vegas, ,Clark,
120,"Charlotte, North Carolina",US,Charlotte, ,Mecklenburg,
121,"San Antonio, Texas",US,San Antonio, ,Bexar,
122,"Bronx, New York",US,New York,The Bronx, ,
123,"Orangeburg, New York",US,Orangeburg, ,Rockland,
124,"Corinth, Vermont",US, ,Cookville,Orange,
125,"Jericho, New York",US,Jericho, ,Nassau,
126,"Saint Petersburg, Florida",US,Saint Petersburg, ,Pinellas,
127,"Averill Park, New York",US,Sand Lake,Averill Park,Rensselaer,
128,"Rego Park, New York",US,New York,Queens, ,
129,"Ballston Lake, New York",US,Ballston,Ballston Lake,Saratoga,
130,"Bethesda, Maryland",US,Bethesda, ,Montgomery,
131,"Washington, ",US,Washington, , ,
132,"Jamaica, New York",US,New York,Queens, ,
133,"Corfu, New York",US,Pembroke,Corfu,Genesee,
134,"Red Hook, New York",US,Red Hook,Red Hook,Dutchess,
135,"Stuyvesant, New York",US,Bedford-Stuyvesant,Brooklyn, ,
136,"Millis, Massachussets",US,Millis, ,Norfolk,
137,"Thornwood, New York",US,Mount Pleasant,Thornwood,Westchester,
