Account ID        , City                          , County                                   , State         , Country      , Total Gifts (All Time), Last Gift Date, Number of Gifts Past 18 Months, Location                                  , OriginalLocation      , ResolvedCity                  , Latitude  , Longitude   , LocalArea
001PY00000cQeQaYAK, Town of North Salem           , Westchester                              , New York      , United States,                9750.0 , 2024-11-27    ,                            1.0, "Town of North Salem, New York"           , North Salem           , Town of North Salem           , 41.3348169, -73.5712374 , 
001PY00000egj2hYAA, City of Newburgh              , Orange                                   , New York      , United States,                1500.0 , 2024-03-11    ,                            0.0, "City of Newburgh, New York"              , Newburgh              , City of Newburgh              , 41.5000767, -74.0098299 , 
001PY00000egj2sYAA, Valley Cottage                , Rockland                                 , New York      , United States,               79400.0 , 2024-11-18    ,                            1.0, "Valley Cottage, New York"                , Valley Cottage        , Valley Cottage                , 41.117785 , -73.9442812 , 
001PY00000egj2tYAA, New York City                 ,                                          , New York      , United States,              135000.0 , 2024-11-26    ,                            1.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000egj2wYAA, Carrollton                    , Dallas                                   , Texas         , United States,                2130.0 , 2023-03-01    ,                            0.0, "Carrollton, Texas"                       , Carrollton            , Carrollton                    , 32.9515472, -96.9034244 , 
001PY00000egj2yYAA, New York City                 ,                                          , New York      , United States,                 500.0 , 2022-08-08    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000egj33YAA, Hudson                        , Summit                                   , Ohio          , United States,                 500.0 , 2023-12-11    ,                            0.0, "Hudson, Ohio"                            , Hudson                , Hudson                        , 41.240056 , -81.440667  , 
001PY00000egzubYAA, New York City                 ,                                          , New York      , United States,              914700.0 , 2025-06-26    ,                            2.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000ehgwnYAA, New York City                 ,                                          , New York      , United States,                 324.07, 2022-06-15    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
001PY00000ehgwqYAA, City of Yonkers               , Westchester                              , New York      , United States,              169217.5 , 2024-12-09    ,                            1.0, "City of Yonkers, New York"               , Yonkers               , City of Yonkers               , 40.9312099, -73.8987469 , 
001PY00000ehgwuYAA, New York City                 ,                                          , New York      , United States,                3500.0 , 2022-12-02    ,                            0.0, "New York City, New York"                 , New York              , City of New York              , 40.7127281, -74.0060152 , 
