Account ID,City,State,BFPO No,Postcode,Country,Total Gifts (All Time),Last Gift Date,Number of Gifts Past 18 Months
001PY00000ffEiQYAU,Cullman,AL,,,,$45.90 ,4/4/2023,0
001PY00000ff8JxYAI,Eureka Springs,AR,,,,$530.00 ,12/30/2022,0
001PY00000zUAwTYAW,Cave Creek,AZ,,,,$315.83 ,9/15/2025,2
001PY00000ffFP9YAM,Green Valley,AZ,,,,$40.00 ,1/8/2020,0
001PY00000ffQ8GYAU,Mesa,AZ,,,,$50.00 ,4/19/2024,1
001PY00000fea2cYAA,Prescott,AZ,,,,$58.03 ,5/17/2022,0
001PY00000ffFdKYAU,Scottsdale,AZ,,,,$175.00 ,11/30/2022,0
001PY00000ffDDwYAM,Scottsdale,AZ,,,,$303.78 ,12/31/2024,1
001PY00000wCRDEYA4,Scottsdale,AZ,,,,$50.00 ,8/11/2025,1
001PY00000ffGdJYAU,Tucson,AZ,,,,$753.00 ,6/18/2025,1
001PY00000fyHesYAE,Tuscon,AZ,,,,$59.65 ,1/27/2025,1
001PY00000iwvJ7YAI,Toronto,BC,,,,$3.00 ,5/6/2025,1
001PY00000ffAHEYA2,Alameda,CA,,,,$510.00 ,12/16/2024,1
001PY00000ffJjHYAU,Aptos,CA,,,,$50.00 ,8/10/2022,0
001PY00000ff9D1YAI,Arroyo Grande,CA,,,,$235.00 ,11/28/2023,0
001PY00000ffHtFYAU,Beverly Hills,CA,,,,"$1,000.00 ",11/30/2021,0
001PY000010obFOYAY,Beverly Hills,CA,,,,$850.00 ,9/30/2025,2
001PY00000ffGcoYAE,Chico,CA,,,,$50.00 ,3/30/2021,0
001PY00000ffPFtYAM,Claremont,CA,,,,$100.00 ,9/13/2023,0
001PY00000ffGJEYA2,Claremont,CA,,,,"$1,250.00 ",1/9/2024,0
001PY00000ffP81YAE,Corona Del Mar,CA,,,,"$3,800.00 ",7/28/2023,0
001PY00000ffFa5YAE,Cupertino,CA,,,,$59.00 ,6/30/2021,0
001PY00000ffPHqYAM,Cupertino,CA,,,,$250.00 ,10/6/2023,0
001PY00000ff1pBYAQ,Downey,CA,,,,$715.00 ,9/8/2025,4
001PY00000ffJMmYAM,El Sobrante,CA,,,,$150.00 ,12/23/2022,0
001PY00000ffJMrYAM,Encino,CA,,,,$495.00 ,2/27/2023,0
001PY00000ehiziYAA,Encino,CA,,,,"$25,000.00 ",7/31/2025,1
001PY00000fexkuYAA,Kensington,CA,,,,$250.00 ,1/30/2025,2
001PY00000ffFdhYAE,La Jolla,CA,,,,"$25,000.00 ",1/18/2022,0
001PY00000fbbXkYAI,La Jolla,CA,,,,"$95,000.00 ",3/13/2025,1
001PY00000fbbi0YAA,Long Beach,CA,,,,"$6,000.00 ",3/21/2025,2
001PY00000ffGv0YAE,Los Angeles,CA,,,,$500.00 ,2/19/2021,0
001PY00000ffH0mYAE,Los Angeles,CA,,,,$25.00 ,2/20/2021,0
001PY00000ffJj8YAE,Los Angeles,CA,,,,$100.00 ,8/8/2022,0
001PY00000feG0YYAU,Los Angeles,CA,,,,$25.00 ,8/15/2022,0
001PY00000ffHeVYAU,Los Angeles,CA,,,,$55.00 ,11/29/2022,0
001PY00000ffNW5YAM,Los Angeles,CA,,,,$50.00 ,4/21/2023,0
001PY00000ff277YAA,Los Angeles,CA,,,,"$18,150.00 ",4/28/2025,2
001PY00000ffQQiYAM,Menlo Park,CA,,,,$500.00 ,6/7/2024,1
001PY00000ffFaTYAU,Mill Valley,CA,,,,$50.00 ,10/20/2020,0
001PY00000ffOcuYAE,Mill Valley,CA,,,,$500.00 ,7/5/2023,0
001PY00000ff6MzYAI,Napa,CA,,,,$175.00 ,12/28/2020,0
001PY00000ffGcdYAE,Northridge,CA,,,,$100.00 ,3/29/2021,0
001PY00000ff8P2YAI,Oakland,CA,,,,"$3,000.00 ",12/30/2024,1
001PY00000ffIujYAE,Oakland,CA,,,,$126.63 ,4/24/2025,2
001PY00000fbcmvYAA,Oakland,CA,,,,"$10,430.00 ",12/30/2024,1
001PY00000fetj6YAA,Pasadena,CA,,,,$100.00 ,11/1/2022,0
001PY00000fdqNaYAI,"Pasadena, part-time Larchmont",CA,,,,$200.00 ,8/10/2021,0
001PY00000ffQoAYAU,Philo,CA,,,,$100.00 ,8/24/2024,1
001PY00000ehizgYAA,Richmond,CA,,,,$250.00 ,12/27/2021,0
001PY00000ff9DxYAI,Sacramento,CA,,,,$600.00 ,12/31/2021,0
001PY00000fbbUzYAI,Sacramento,CA,,,,"$90,000.00 ",7/8/2020,0
001PY00000ffP82YAE,Sacremento,CA,,,,$275.00 ,7/28/2023,0
001PY00000ffGckYAE,San Diego,CA,,,,$18.00 ,3/29/2021,0
001PY00000ffGcnYAE,San Diego,CA,,,,$52.00 ,3/29/2021,0
001PY00000ffQXbYAM,San Diego,CA,,,,$50.00 ,7/11/2024,1
001PY00000ffF6LYAU,San Francisco,CA,,,,$100.00 ,8/11/2020,0
001PY00000ffA5JYAU,San Francisco,CA,,,,$130.00 ,8/16/2021,0
001PY00000fea3HYAQ,San Francisco,CA,,,,$40.00 ,5/17/2022,0
001PY00000fepcVYAQ,San Francisco,CA,,,,$416.40 ,12/30/2022,0
001PY00000ff7QnYAI,San Francisco,CA,,,,"$50,886.05 ",1/20/2023,0
001PY00000ff7Y3YAI,San Francisco,CA,,,,"$2,050.00 ",10/30/2023,0
001PY00000ffQuyYAE,San Francisco,CA,,,,$125.00 ,9/20/2024,1
001PY00000fbccLYAQ,San Francisco,CA,,,,"$21,413.12 ",5/14/2024,1
001PY00000fbbuYYAQ,San Francisco,CA,,,,"$36,550.00 ",9/23/2024,1
001PY00000fbc71YAA,San Francisco,CA,,,,"$1,763.65 ",9/30/2025,40
001PY00000fetHKYAY,Santa Ana,CA,,,,$80.00 ,12/1/2020,0
001PY00000ffzPUYAY,Santa Cruz,CA,,,,"$1,295.00 ",6/20/2025,2
001PY00000ffPsnYAE,Santa Maria,CA,,,,$10.00 ,3/27/2024,0
001PY00000ffCfNYAU,Santa Monica,CA,,,,$15.00 ,12/22/2020,0
001PY00000ffGcjYAE,Santa Monica,CA,,,,$54.00 ,3/29/2021,0
001PY00000ffGcpYAE,Santa Monica,CA,,,,$36.00 ,3/30/2021,0
001PY00000ffOdoYAE,Santa Rosa,CA,,,,$100.00 ,7/6/2023,0
001PY00000fbbgQYAQ,Sausalito,CA,,,,"$25,000.00 ",12/13/2023,0
001PY00000ffR0lYAE,Sebastopol,CA,,,,"$2,000.00 ",10/8/2024,1
001PY00000ffGchYAE,Sherman Oaks,CA,,,,$34.00 ,3/29/2021,0
001PY00000ffFTSYA2,Sierra Mas,CA,,,,$100.00 ,10/7/2020,0
001PY00000fbblZYAQ,Sonoma,CA,,,,"$852,654.56 ",8/18/2025,2
001PY00000feXsDYAU,South Pasadena,CA,,,,"$5,035.00 ",4/20/2022,0
001PY00000ffFbKYAU,Stockton,CA,,,,$10.00 ,1/7/2020,0
