account_id,city,state,bfpo_no,postcode,country,total_gifts_amount,last_gift_date,gifts_past_18m
001PY00000cQeQaYAK,North Salem,NY,,,United States,9750.0,2024-11-27,1.0
001PY00000egj2hYAA,Newburgh,NY,,,United States,1500.0,2024-03-11,0.0
001PY00000egj2sYAA,Valley Cottage,NY,,,United States,79400.0,2024-11-18,1.0
001PY00000egj2tYAA,New York,NY,,,United States,135000.0,2024-11-26,1.0
001PY00000egj2wYAA,Carrollton,TX,,,United States,2130.0,2023-03-01,0.0
001PY00000egj2yYAA,New York,NY,,,United States,500.0,2022-08-08,0.0
001PY00000egj33YAA,Hudson,OH,,,United States,500.0,2023-12-11,0.0
001PY00000egzubYAA,New York,NY,,,United States,914700.0,2025-06-26,2.0
001PY00000ehC0XYAU,,,,,United States,686.0,2021-06-30,0.0
001PY00000ehgwnYAA,New York,NY,,,United States,324.07,2022-06-15,0.0
001PY00000ehgwqYAA,Yonkers,NY,,,United States,169217.5,2024-12-09,1.0
001PY00000ehgwuYAA,New York,NY,,,United States,3500.0,2022-12-02,0.0
001PY00000ehgx3YAA,Brooklyn,NY,,,United States,6165.0,2023-12-05,0.0
001PY00000ehgx6YAA,New York,NY,,,United States,2550.0,2024-12-31,1.0
001PY00000ehgxDYAQ,Ossining,NY,,,United States,654.07,2023-06-09,0.0
001PY00000ehgxGYAQ,Bronx,NY,,,United States,1100.0,2023-06-29,0.0
001PY00000ehgxIYAQ,Poughkeepsie,NY,,,United States,3165.0,2025-06-03,2.0
001PY00000ehgxOYAQ,Beacon,NY,,,United States,1680.0,2025-10-17,10.0
001PY00000ehgxSYAQ,Fishkill,NY,,,United States,895.0,2020-12-31,0.0
001PY00000ehgxTYAQ,Pound Ridge,NY,,,United States,87522.18,2025-03-28,4.0
001PY00000ehgxbYAA,Aventura,FL,,,United States,85000.0,2025-05-23,1.0
001PY00000ehgxcYAA,New York,NY,,,United States,2215.0,2023-10-26,0.0
001PY00000ehgxdYAA,Gardiner,NY,,,United States,300.0,2024-04-04,1.0
001PY00000ehgxeYAA,Ardsley-on-Hudson,NY,,,United States,6445.0,2021-06-28,0.0
001PY00000ehgxfYAA,Catskill,NY,,,United States,500.0,2020-12-29,0.0
001PY00000ehgxgYAA,New York,NY,,,United States,300.0,2022-06-21,0.0
001PY00000ehgxhYAA,Tarrytown,NY,,,United States,300.0,2024-12-13,2.0
001PY00000ehgxiYAA,Queens,NY,,,United States,650.0,2025-01-02,2.0
001PY00000ehgxjYAA,Port Washington,NY,,,United States,250.0,2024-12-16,1.0
001PY00000ehizdYAA,New York,NY,,,United States,601.0,2025-05-15,2.0
001PY00000ehizeYAA,New York,NY,,,United States,803.11,2023-05-30,0.0
001PY00000ehizfYAA,Ardsley,NY,,,United States,250.0,2021-10-30,0.0
001PY00000ehizgYAA,Richmond,CA,,,United States,250.0,2021-12-27,0.0
001PY00000ehizhYAA,St. Augustine,FL,,,United States,360.0,2022-06-21,0.0
001PY00000ehiziYAA,Encino,CA,,,United States,25000.0,2025-07-31,1.0
001PY00000ehizjYAA,Boiceville,NY,,,United States,300.0,2023-06-08,0.0
001PY00000ehizkYAA,Fort Lee,NJ,,,United States,914.63,2025-06-06,4.0
001PY00000ehizlYAA,,,,,United States,1000.0,2023-07-05,0.0
001PY00000ehizmYAA,Sayville,NY,,,United States,300.0,2023-09-04,0.0
001PY00000fbPl8YAE,Bedford Corners,NY,,,United States,15000.0,2023-12-13,0.0
001PY00000fbPlEYAU,Hudson,OH,,,United States,35000.0,2020-03-03,0.0
001PY00000fbPlIYAU,New York,NY,,,United States,172720.0,2025-05-29,2.0
001PY00000fbPlMYAU,Tarrytown,NY,,,United States,5797.1,2025-01-31,4.0
001PY00000fbPlNYAU,Amherst,NY,,,United States,20000.0,2022-07-14,0.0
001PY00000fbPlOYAU,New York,NY,,,United States,45000.0,2021-09-27,0.0
001PY00000fbPlSYAU,Brooklyn,NY,,,,50.0,2025-10-15,1.0
001PY00000fbPllYAE,Rhinebeck,NY,,,United States,4000.0,2020-11-17,0.0
001PY00000fbPlnYAE,Boston,MA,,,United States,11500.0,2020-03-11,0.0
001PY00000fbPlqYAE,Hudson,NY,,,United States,45000.0,2025-03-28,3.0
001PY00000fbPlrYAE,North Yarmouth,ME,,,United States,554616.64,2024-12-06,2.0
001PY00000fbPluYAE,Wilmington,DE,,,United States,17754.48,2024-12-18,1.0
